左槽,防具三件套效果,五件套效果,首饰三件套效果,上衣,下装,护肩,腰带,鞋子,手镯,项链,戒指,武器,武器类型,最终力智,最终力智系数,最终双攻系数,最终面板,最终白字,最终黄字,最终属强,最终技工,装备技工,最终暴击率,最终爆伤,最终暴击期望,最终强度,damage
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4668.3,1.3,1.67,108813.2561,1.676363636,2.01,244,1.682445,1.442445,0.769550562,1.879,1.676434944,2181066.843,7845305614
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,属强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4668.3,1.3,1.67,108813.2561,1.862909091,1.92,241,1.682445,1.442445,0.769550562,1.739,1.568697865,2152450.253,7742371633
名将兵书,失明套二件套效果,失明套五件套效果,火强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3842.37,1.07,1.65,89455.9343,2.136363636,1.84,244,1.770246,1.530246,0.712097378,1.879,1.625933596,2134685.412,7678471432
圣灵之咒,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4668.3,1.3,1.67,108813.2561,1.876363636,1.99,244,1.682445,1.442445,0.739550562,1.84,1.621222472,2337387.305,7669855021
名将兵书,失明套二件套效果,失明套五件套效果,火强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4919.67,1.37,1.25,85609.7352,2.136363636,1.82,244,1.770246,1.530246,0.807003745,1.879,1.709356292,2124375.261,7641385780
手套,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4668.3,1.3,1.67,108813.2561,1.676363636,1.99,244,1.682445,1.442445,0.739550562,2.09,1.806110112,2326395.312,7633786119
手套,鬼面君主套二件套效果,鬼面君主套五件套效果,属强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4668.3,1.3,1.67,108813.2561,1.862909091,1.9,241,1.682445,1.442445,0.739550562,1.95,1.702573034,2311808.947,7585922719
名将兵书,镇魂曲套二件套效果,镇魂曲套五件套效果,属强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,属强手镯,属强项链,属强戒指,卸甲炮,手炮,3591,1,1.6,81416.9088,1.974727273,1.62,316,1.6497,1.4097,0.674644195,1.739,1.49856206,1568767.431,7495009682
圣灵之咒,鬼面君主套二件套效果,鬼面君主套五件套效果,属强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4668.3,1.3,1.67,108813.2561,2.062909091,1.9,241,1.682445,1.442445,0.739550562,1.7,1.517685393,2282003.844,7488120862
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,九龙步枪,步枪,3591,1,1.67,84978.89856,2.225090909,1.83,268,1.682445,1.442445,0.694644195,1.879,1.610592247,2079857.44,7481255011
名将兵书,镇魂曲套二件套效果,镇魂曲套五件套效果,属强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,属强手镯,属强项链,属强戒指,战斗步枪,步枪,4668.3,1.3,1.2,78189.16608,1.974727273,1.6,316,1.6497,1.4097,0.769550562,1.739,1.568697865,1557614.842,7477569007
名将兵书,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3591,1,1.6,81416.9088,1.7575,1.71,319,1.6497,1.4097,0.674644195,1.879,1.593012247,1575419.537,7476525938
手套,失明套二件套效果,失明套五件套效果,火强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4919.67,1.37,1.25,85609.7352,2.136363636,1.8,244,1.770246,1.530246,0.777003745,2.09,1.846934082,2270132.222,7449165562
名将兵书,鬼面君主套二件套效果,鬼面君主套五件套效果,火强三件套,鬼面君主套上衣,鬼面君主套下装,鬼面君主套护肩,鬼面君主套腰带,鬼面君主套鞋子,火强手镯,火强项链,火强戒指,宝瓶守护者,手炮,3591,1,1.67,84978.89856,2.268727273,1.83,256,1.682445,1.442445,0.674644195,1.879,1.593012247,2045920.442,7442728255
手套,失明套二件套效果,失明套五件套效果,火强三件套,失明套上衣,失明套下装,失明套护肩,失明套腰带,失明套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3842.37,1.07,1.65,89455.9343,2.136363636,1.82,244,1.770246,1.530246,0.682097378,2.09,1.743486142,2264139.296,7429500499
名将兵书,镇魂曲套二件套效果,镇魂曲套五件套效果,火强三件套,镇魂曲套上衣,镇魂曲套下装,镇魂曲套护肩,镇魂曲套腰带,镇魂曲套鞋子,火强手镯,火强项链,火强戒指,战斗步枪,步枪,4668.3,1.3,1.2,78189.16608,1.7575,1.69,319,1.6497,1.4097,0.769550562,1.879,1.676434944,1573571.144,7425584143
名将兵书,坚强套二件套效果,坚强套五件套效果,火强三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,火强手镯,火强项链,火强戒指,卸甲炮,手炮,3950.1,1.1,1.62,90141.53818,2.080227273,1.78,279,1.6386,1.3986,0.674644195,1.979,1.660476667,2059867.784,7409352143
